categoria,Imagen,producto,Formato,Precio
Fruta,https://prod-mercadona.imgix.net/images/e4a37940916985bf5ca166e266580c37.jpg?fit=crop&h=300&w=300,Plátano de Canarias IGP,Pieza 180 g aprox.,"0,28 €"
Fruta,https://prod-mercadona.imgix.net/images/69edef3541bbf3f4b7173c9d617a5698.jpg?fit=crop&h=300&w=300,Banana,Pieza 180 g aprox.,"0,25 €"
Fruta,https://prod-mercadona.imgix.net/images/c22baa2a17de06fbf8477ef25392b7ca.jpg?fit=crop&h=300&w=300,Plátano macho,Pieza 320 g aprox.,"0,94 €"
Fruta,https://prod-mercadona.imgix.net/images/5081f67084ee5b08aa7436aff8458ec6.jpg?fit=crop&h=300&w=300,Uva blanca sin semillas,Bandeja 500 g aprox.,"2,60 €"
Fruta,https://prod-mercadona.imgix.net/images/98e4fd079dd91dc002571376ea06762b.jpg?fit=crop&h=300&w=300,Uva roja sin semillas,Bandeja 500 g aprox.,"2,25 €"
Fruta,https://prod-mercadona.imgix.net/images/0badb0be855ae3b5d11d4750b92c765b.jpg?fit=crop&h=300&w=300,Manzana Golden,Pieza 200 g aprox.,"0,37 €"
Fruta,https://prod-mercadona.imgix.net/images/fff0b633705b0eb0bc77f9a5e1d45b3c.jpg?fit=crop&h=300&w=300,Manzanas Golden,"1,5 kg aprox.","2,40 €"
Fruta,https://prod-mercadona.imgix.net/images/ee3e71e5011511764af6ba3edc41f4d2.jpg?fit=crop&h=300&w=300,Pera Conferencia,Pieza 200 g aprox.,"0,52 €"
Fruta,https://prod-mercadona.imgix.net/images/51032a014399414f057b3020a930bf6b.jpg?fit=crop&h=300&w=300,Peras Conferencia,"1,5 kg aprox.","3,00 €"
Fruta,https://prod-mercadona.imgix.net/images/966d3b08efd621e942126a54e6b81ed4.jpg?fit=crop&h=300&w=300,Manzana roja dulce,Pieza 200 g aprox.,"0,41 €"
Fruta,https://prod-mercadona.imgix.net/images/72af5bfc30fcadef171074b4e1a0f420.jpg?fit=crop&h=300&w=300,Manzanas rojas dulces,"Bolsa 1,5 kg aprox.","2,63 €"
Fruta,https://prod-mercadona.imgix.net/images/8da98219dea475bc1170fe49a9afcbdf.jpg?fit=crop&h=300&w=300,Pera Ercolina,Pieza 110 g aprox.,"0,30 €"
Fruta,https://prod-mercadona.imgix.net/images/06e8c47d7373ac738378135cc9787b6b.jpg?fit=crop&h=300&w=300,Manzana Granny Smith,Pieza 210 g aprox.,"0,44 €"
Fruta,https://prod-mercadona.imgix.net/images/7be08c331cdd9aae806a258c5acc46af.jpg?fit=crop&h=300&w=300,Pera Rocha,Pieza 130 g aprox.,"0,34 €"
Fruta,https://prod-mercadona.imgix.net/images/dfb3b85109390b0bb0aab4f838c5ba89.jpg?fit=crop&h=300&w=300,Pera Limonera,Pieza 160 g aprox.,"0,44 €"
Fruta,https://prod-mercadona.imgix.net/images/d71e7589d780c62780f963398b5bd0a8.jpg?fit=crop&h=300&w=300,Manzana roja acidulce,Pieza 220 g aprox.,"0,49 €"
Fruta,https://prod-mercadona.imgix.net/images/e28ec37958397dd959653170ab0757e0.jpg?fit=crop&h=300&w=300,Manzanas rojas acidulces,"Bolsa 1,5 kg aprox.","2,46 €"
Fruta,https://prod-mercadona.imgix.net/images/3022ff8aa96d13f4d814dec4f06b8b4c.jpg?fit=crop&h=300&w=300,Medio melón piel de sapo,"1/2 Pieza 1,57 kg aprox.","3,61 €"
Fruta,https://prod-mercadona.imgix.net/images/bd4459355f58bc265a2c6720b688e3c3.jpg?fit=crop&h=300&w=300,Melón piel de sapo,"Pieza 3,51 kg aprox.","7,02 €"
Fruta,https://prod-mercadona.imgix.net/images/464898f33342e516d67642570227c2eb.jpg?fit=crop&h=300&w=300,Limones,Malla 1 kg,"2,15 €"
Fruta,https://prod-mercadona.imgix.net/images/c5c512407bc265ae901a3b8efc24ac23.jpg?fit=crop&h=300&w=300,Limón,Pieza 210 g aprox.,"0,49 €"
